earnings_date,EPS Estimate,Reported EPS,Surprise(%),ticker
2005-02-01,0.02,0.02,0.1948,GOOGL
2004-10-21,0.01,0.02,0.2438,GOOGL
2024-04-23,,,,MSFT
2024-01-22,,,,MSFT
2023-10-23,,,,MSFT
2023-07-25,2.55,,,MSFT
2023-04-25,2.23,2.45,0.0981,MSFT
2023-01-24,2.29,2.32,0.0109,MSFT
2022-10-25,2.3,2.35,0.0204999999999999,MSFT
2022-07-26,2.29,2.23,-0.0274,MSFT
2022-04-26,2.19,2.22,0.016,MSFT
2022-01-25,2.31,2.48,0.0725,MSFT
2021-10-26,2.07,2.27,0.0941,MSFT
2021-07-27,1.92,2.17,0.1326,MSFT
2021-04-27,1.78,1.95,0.0963,MSFT
2021-01-26,1.64,2.03,0.2369,MSFT
2020-10-27,1.54,1.82,0.1791,MSFT
2020-07-22,1.34,1.46,0.0872,MSFT
2020-04-29,1.26,1.4,0.107,MSFT
2020-01-29,1.32,1.51,0.1449,MSFT
2019-10-23,1.25,1.38,0.1083,MSFT
2019-07-18,1.21,1.37,0.1295,MSFT
2019-04-24,1.0,1.14,0.1415,MSFT
2019-01-30,1.09,1.1,0.0069999999999999,MSFT
2018-10-24,0.96,1.14,0.1837,MSFT
2018-07-19,1.08,1.13,0.0501999999999999,MSFT
2018-04-26,0.85,0.95,0.1186,MSFT
2018-01-31,0.86,0.96,0.11,MSFT
2017-10-26,0.72,0.84,0.1655,MSFT
2017-07-20,0.71,0.98,0.3893,MSFT
2017-04-27,0.7,0.73,0.0466,MSFT
2017-01-26,0.79,0.84,0.062,MSFT
2016-10-20,0.68,0.76,0.1127,MSFT
2016-07-19,0.58,0.69,0.1882,MSFT
2016-04-21,0.64,0.62,-0.0273,MSFT
2016-01-28,0.71,0.78,0.0944,MSFT
2015-10-22,0.59,0.67,0.1434,MSFT
2015-07-21,0.56,0.6,0.0657,MSFT
2015-04-23,0.51,0.61,0.2045,MSFT
2015-01-26,0.71,0.75,0.0514,MSFT
2014-10-23,0.49,0.54,0.1123,MSFT
2014-07-22,0.6,0.55,-0.0865,MSFT
2014-04-24,0.63,0.68,0.0802,MSFT
2014-01-23,0.68,0.78,0.1483,MSFT
2013-10-24,0.54,0.62,0.151,MSFT
2013-07-18,0.75,0.66,-0.1196,MSFT
2013-04-18,0.68,0.72,0.0596999999999999,MSFT
2013-01-24,0.75,0.76,0.0193,MSFT
2012-10-18,0.56,0.53,-0.0547,MSFT
2012-07-19,0.62,0.67,0.0848,MSFT
2012-04-19,0.57,0.6,0.0438,MSFT
2012-01-19,0.76,0.78,0.0293,MSFT
2011-10-20,0.68,0.68,0.0038,MSFT
2011-07-21,0.58,0.69,0.1988,MSFT
2011-04-28,0.56,0.61,0.0974,MSFT
2011-01-27,0.68,0.77,0.1257,MSFT
2010-10-28,0.55,0.62,0.1298,MSFT
2010-07-22,0.46,0.51,0.0982,MSFT
2010-04-22,0.42,0.45,0.0695,MSFT
2010-01-28,0.59,0.74,0.2479,MSFT
2009-10-23,0.32,0.4,0.2576,MSFT
2009-07-23,0.36,0.36,0.0022,MSFT
2009-04-23,0.39,0.39,0.0026,MSFT
2009-01-22,0.49,0.47,-0.0484,MSFT
2008-10-23,0.47,0.48,0.0184,MSFT
2008-07-17,0.47,0.46,-0.0213,MSFT
2008-04-24,0.44,0.47,0.0674,MSFT
2008-01-24,0.46,0.5,0.0933,MSFT
2007-10-25,0.39,0.45,0.1538,MSFT
2007-07-19,0.39,0.39,0.003,MSFT
2007-04-26,0.46,0.49,0.0686,MSFT
2007-01-25,0.23,0.26,0.1148,MSFT
2006-10-26,0.31,0.35,0.1302,MSFT
2006-07-20,0.3,0.31,0.0263,MSFT
2006-04-27,0.33,0.32,-0.0293,MSFT
2006-01-26,0.33,0.33,-0.0008,MSFT
2005-10-27,0.3,0.31,0.0414,MSFT
2005-07-21,0.31,0.32,0.024,MSFT
2005-04-28,0.32,0.32,0.0093,MSFT
2005-01-27,0.33,0.35,0.0681,MSFT
2004-10-21,0.3,0.31,0.0289,MSFT
2004-07-22,0.29,0.28,-0.0187,MSFT
2004-04-22,0.29,0.34,0.191,MSFT
2004-01-22,0.3,0.34,0.1346,MSFT
2003-10-23,0.29,0.3,0.0356,MSFT
2024-04-16,,,,NFLX
2024-01-17,,,,NFLX
2023-10-16,,,,NFLX
2023-07-19,2.86,,,NFLX
2023-04-18,2.86,2.88,0.0066,NFLX
2023-01-19,0.45,0.12,-0.7323000000000001,NFLX
2022-10-18,2.13,3.1,0.4574,NFLX
2022-07-19,2.94,3.2,0.0875,NFLX
2022-04-19,2.89,3.53,0.2198999999999999,NFLX
2022-01-20,0.82,1.33,0.6197,NFLX
2021-10-19,2.56,3.19,0.2452,NFLX
2021-07-20,3.16,2.97,-0.0588,NFLX
2021-04-20,2.97,3.75,0.2637,NFLX
2021-01-19,1.39,1.19,-0.1425,NFLX
2020-10-20,2.14,1.74,-0.1881,NFLX
2020-07-16,1.81,1.59,-0.1225,NFLX
2020-04-21,1.65,1.57,-0.0494,NFLX
2020-01-21,0.53,1.3,1.4685,NFLX
2019-10-16,1.04,1.47,0.4100999999999999,NFLX
2019-07-17,0.56,0.6,0.0655999999999999,NFLX
2019-04-16,0.57,0.76,0.3254999999999999,NFLX
2019-01-17,0.24,0.3,0.2541,NFLX
2018-10-16,0.68,0.89,0.3085,NFLX
2018-07-16,0.79,0.85,0.0712,NFLX
2018-04-16,0.64,0.64,0.0069,NFLX
2018-01-22,0.41,0.41,-0.0058,NFLX
2017-10-16,0.32,0.29,-0.0945,NFLX
2017-07-17,0.15,0.15,-0.0168,NFLX
2017-04-17,0.37,0.4,0.071,NFLX
2017-01-18,0.13,0.15,0.1324,NFLX
2016-10-17,0.06,0.12,1.1409,NFLX
2016-07-18,0.02,0.09,2.7594,NFLX
2016-04-18,0.03,0.06,0.7513,NFLX
2016-01-19,0.02,0.07,2.3638,NFLX
2015-10-14,0.08,0.07,-0.0716,NFLX
2015-07-15,0.04,0.06,0.3559,NFLX
2015-04-15,0.1,0.11,0.1151,NFLX
2015-01-20,0.06,0.1,0.6154999999999999,NFLX
2014-10-15,0.13,0.14,0.0371,NFLX
2014-07-21,0.17,0.16,-0.0053,NFLX
2014-04-21,0.12,0.12,0.0387,NFLX
2014-01-22,0.09,0.11,0.206,NFLX
2013-10-21,0.07,0.07,0.0523,NFLX
2013-07-22,0.06,0.07,0.2212,NFLX
2013-04-22,0.03,0.04,0.5955,NFLX
2013-01-23,-0.02,0.02,2.0328,NFLX
2012-10-23,0.01,0.02,2.0847,NFLX
2012-07-24,0.01,0.02,1.267,NFLX
2012-04-23,-0.04,-0.01,0.7044,NFLX
2012-01-25,0.08,0.1,0.3257,NFLX
2011-10-24,0.13,0.17,0.2314999999999999,NFLX
2011-07-25,0.16,0.18,0.1325,NFLX
2011-04-25,0.15,0.16,0.0305,NFLX
2011-01-26,0.1,0.12,0.2228,NFLX
2010-10-20,0.1,0.1,-0.0185,NFLX
2010-07-21,0.1,0.11,0.1354,NFLX
2010-04-21,0.08,0.08,0.0871,NFLX
2010-01-27,0.06,0.08,0.2399,NFLX
2009-10-22,0.06,0.07,0.1438,NFLX
2009-07-23,0.07,0.08,0.0668,NFLX
2009-04-23,0.04,0.05,0.1823,NFLX
2009-01-26,0.05,0.05,0.1157,NFLX
2008-10-20,0.04,0.05,0.0687,NFLX
2008-07-25,0.06,0.06,0.0424,NFLX
2008-04-21,0.03,0.03,0.0194,NFLX
2008-01-23,0.02,0.03,0.6792,NFLX
2007-10-22,0.02,0.03,0.5507,NFLX
2007-07-23,0.03,0.05,0.6365,NFLX
2007-04-18,0.02,0.02,-0.1119,NFLX
2007-01-24,0.02,0.03,0.4422999999999999,NFLX
2006-10-23,0.02,0.03,0.4534,NFLX
2006-07-24,0.03,0.03,0.3468,NFLX
2006-04-24,0.01,0.01,0.0823,NFLX
2006-01-24,0.02,0.02,0.1528,NFLX
2005-10-19,0.02,0.03,0.347,NFLX
2005-07-25,,0.02,11.3457,NFLX
2005-04-21,-0.03,-0.01,0.5679,NFLX
